,SNIa_Probability,SNII_Probability,SNIbc_Probability,SLSN_Probability,ZTF_ID,host_ra,hostdec,has_host?,TNS_Classification,Alerce_SNIa_Probability,Alerce_SNII_Probability,Alerce_SNIbc_Probability,Alerce_SLSN_Probability
9024,0.648666667,0.149,0.120333333,0.082,ZTF18acsowmi,152.3676259,46.25279398,True,Object Not Found,0.432,0.152,0.298,0.118
9025,0.171333333,0.306333333,0.358,0.164333333,ZTF19aarfkch,221.1312079,70.45791064,True,Object Not Found,0.134,0.36,0.196,0.31
9026,0.492333333,0.120333333,0.137666667,0.249666667,ZTF19aavifuy,262.973119,17.88873469,True,Object Not Found,0.498,0.174,0.216,0.112
9027,0.519333333,0.146333333,0.215666667,0.118666667,ZTF19aavlgdy,222.7597406,13.00878271,True,Object Not Found,0.316,0.2,0.256,0.228
9028,0.602333333,0.129666667,0.252666667,0.015333333,ZTF19aaeausb,119.1885791,41.94637992,True,Object Not Found,0.248,0.194,0.408,0.15
9029,0.356333333,0.357,0.282333333,0.004333333,ZTF19aayihwo,303.0493634,-21.56635874,True,Object Not Found,0.24,0.192,0.376,0.192
9030,0.536,0.168666667,0.121666667,0.173666667,ZTF19aavpqhr,349.1484233,37.00216549,True,Object Not Found,0.298,0.276,0.216,0.21
9031,0.620666667,0.098333333,0.159333333,0.121666667,ZTF18aczeplb,162.414586,20.21299721,True,Object Not Found,0.446,0.15,0.244,0.16
9032,0.501666667,0.108333333,0.143,0.247,ZTF19aadgdyk,170.9205168,37.55737932,True,Object Not Found,0.52,0.134,0.272,0.074
9033,0.216,0.195666667,0.583333333,0.005,ZTF19accmevg,245.0260314,61.81758222,True,Object Not Found,0.234,0.28,0.326,0.16
9034,0.216333333,0.402333333,0.323333333,0.058,ZTF19aamkdtq,167.7165499,28.70253689,True,Object Not Found,0.346,0.226,0.262,0.166
9035,0.324,0.306333333,0.365666667,0.004,ZTF18abwexol,347.1026278,49.44290016,True,Object Not Found,0.204,0.3,0.222,0.274
9036,0.151333333,0.569,0.214333333,0.065333333,ZTF19abamkfs,323.3233713,-10.66271365,True,Object Not Found,0.18,0.222,0.318,0.28
9037,0.073,0.346333333,0.357,0.223666667,ZTF19aawgjyj,220.3856445,40.04803098,True,Object Not Found,0.044,0.332,0.154,0.47
9038,0.136,0.170333333,0.069666667,0.624,ZTF19aasdvfr,215.3014495,28.89938757,True,Object Not Found,0.052,0.1,0.048,0.8
9039,0.628666667,0.129333333,0.235,0.007,ZTF19abahwus,257.8029789,0.49145682,True,Object Not Found,0.314,0.132,0.388,0.166
