,Training_set,ZTF_ID,TNS_class,my_class,my_SN_Ia,my_SN_II,my_SN_Ibc,my_SLSN,ALeRCE_class,ALeRCE_SN_Ia,ALeRCE_SN_II,ALeRCE_SN_Ibc,ALeRCE_SLSN,Redshift
4656,False,ZTF19acawqlu,No Classification,SN Ia,0.387,0.174,0.373,0.066,SNIa,0.456,0.152,0.318,0.074,No Redshift
4657,False,ZTF19acbsnqr,Object Not Found,SLSN,0.11,0.297,0.267,0.326,SNIbc,0.266,0.2,0.394,0.14,No Redshift
4658,False,ZTF19abwwmam,No Classification,SN Ib/c,0.268,0.238,0.308,0.186,SNIa,0.286,0.218,0.284,0.212,No Redshift
4659,False,ZTF19acylgic,SN Ia,SN Ib/c,0.261,0.282,0.366,0.091,SNIbc,0.256,0.234,0.38,0.13,0.039
4660,False,ZTF19acnplks,No Classification,SN II,0.146,0.382,0.195,0.277,SNIa,0.284,0.252,0.284,0.18,No Redshift
4661,False,ZTF19acvdzfq,SN Ia,SN II,0.137,0.405,0.258,0.2,SNII,0.238,0.288,0.256,0.218,0.0236
4662,False,ZTF20aaglwlj,No Classification,SN Ia,0.385,0.171,0.31,0.134,SNIa,0.354,0.254,0.266,0.126,No Redshift
4663,False,ZTF20aahidaa,SN Ia,SN Ib/c,0.294,0.174,0.393,0.139,SNIa,0.386,0.2,0.264,0.15,0.068
4664,False,ZTF18aawqbtz,Object Not Found,SN Ia,0.438,0.178,0.309,0.075,SNIa,0.456,0.124,0.312,0.108,No Redshift
4665,False,ZTF20aalkasj,No Classification,SN Ib/c,0.327,0.197,0.352,0.124,SNIa,0.342,0.226,0.27,0.162,No Redshift
4666,False,ZTF20aalkksc,Object Not Found,SN Ia,0.285,0.276,0.205,0.234,SLSN,0.284,0.194,0.16,0.362,No Redshift
4667,False,ZTF18acvrfvv,SN Ia,SN Ia,0.717,0.074,0.172,0.037,SNIa,0.434,0.14,0.31,0.116,0.04
4668,False,ZTF19aawfanq,Object Not Found,SN Ia,0.431,0.152,0.283,0.134,SNIa,0.346,0.202,0.25,0.202,No Redshift
4669,False,ZTF18ablpztl,Object Not Found,SN Ib/c,0.335,0.193,0.422,0.05,SNIbc,0.314,0.19,0.37,0.126,No Redshift
4670,False,ZTF19aadpidh,No Classification,SN II,0.24,0.335,0.183,0.242,SNIa,0.34,0.224,0.302,0.134,No Redshift
4671,False,ZTF20aansmkx,No Classification,SN Ib/c,0.339,0.189,0.365,0.107,SNIbc,0.352,0.166,0.37,0.112,0.081622
4672,False,ZTF20aattqfr,SN Ia,SN Ib/c,0.256,0.181,0.469,0.094,SNIbc,0.304,0.188,0.42,0.088,0.0415
4673,False,ZTF19aamgypy,SN Ia-91T-like,SN Ib/c,0.245,0.201,0.46,0.094,SNIbc,0.224,0.284,0.36,0.132,0.024
4674,False,ZTF19aavxgur,No Classification,SN Ia,0.377,0.287,0.247,0.089,SNIbc,0.32,0.206,0.326,0.148,0.0438
4675,False,ZTF20abakjrh,Object Not Found,SN Ia,0.36,0.172,0.232,0.236,SNIa,0.372,0.184,0.294,0.15,No Redshift
4676,False,ZTF20aawfxlt,Object Not Found,SLSN,0.046,0.151,0.078,0.725,SLSN,0.234,0.206,0.196,0.364,3.045
4677,False,ZTF20aallmis,No Classification,SN Ib/c,0.331,0.166,0.379,0.124,SNIa,0.346,0.212,0.31,0.132,No Redshift
4678,False,ZTF20aanqepi,No Classification,SN Ia,0.448,0.122,0.313,0.117,SNIa,0.402,0.194,0.286,0.118,No Redshift
4679,False,ZTF20abpliud,No Classification,SN Ib/c,0.353,0.197,0.388,0.062,SNIbc,0.31,0.252,0.322,0.116,No Redshift
4680,False,ZTF20abznlzw,No Classification,SN Ib/c,0.215,0.225,0.503,0.057,SNIa,0.314,0.23,0.296,0.16,No Redshift
